datetime_utc_from,datetime_utc_to,value,parameter,units,coverage_pct,observed_count,expected_count,avg,min,max
2017-04-08T22:00:00Z,2017-04-09T22:00:00Z,16.2,pm10,µg/m³,100.0,24,24,16.180416666666666,4.5,31.6
2017-04-09T22:00:00Z,2017-04-10T22:00:00Z,19.3,pm10,µg/m³,100.0,24,24,19.30333333333333,9.4,30.2
2017-04-10T22:00:00Z,2017-04-11T22:00:00Z,10.5,pm10,µg/m³,100.0,24,24,10.547916666666667,4.9,20.2
2017-04-11T22:00:00Z,2017-04-12T22:00:00Z,20.7,pm10,µg/m³,92.0,22,24,20.68818181818182,11.43,36.5
2017-04-12T22:00:00Z,2017-04-13T22:00:00Z,14.4,pm10,µg/m³,100.0,24,24,14.435,7.7,25.2
2017-04-13T22:00:00Z,2017-04-14T22:00:00Z,16.2,pm10,µg/m³,100.0,24,24,16.188750000000002,7.05,34.48
2017-04-14T22:00:00Z,2017-04-15T22:00:00Z,10.5,pm10,µg/m³,92.0,22,24,10.517272727272728,1.7,17.2
2017-04-15T22:00:00Z,2017-04-16T22:00:00Z,7.33,pm10,µg/m³,100.0,24,24,7.329166666666666,4.5,13.1
2017-04-16T22:00:00Z,2017-04-17T22:00:00Z,9.33,pm10,µg/m³,83.0,20,24,9.33,2.2,15.5
2017-04-17T22:00:00Z,2017-04-18T22:00:00Z,9.73,pm10,µg/m³,38.0,9,24,9.733333333333333,6.5,12.9
2017-04-18T22:00:00Z,2017-04-19T22:00:00Z,13.0,pm10,µg/m³,92.0,22,24,12.973636363636361,0.0,23.6
2017-04-19T22:00:00Z,2017-04-20T22:00:00Z,12.0,pm10,µg/m³,100.0,24,24,12.004166666666668,3.9,18.7
2017-04-20T22:00:00Z,2017-04-21T22:00:00Z,15.3,pm10,µg/m³,100.0,24,24,15.308750000000002,10.0,24.18
2017-04-21T22:00:00Z,2017-04-22T22:00:00Z,18.5,pm10,µg/m³,100.0,24,24,18.49,8.53,25.7
2017-04-22T22:00:00Z,2017-04-23T22:00:00Z,21.9,pm10,µg/m³,8.0,2,24,21.85,20.6,23.1
2017-04-23T22:00:00Z,2017-04-24T22:00:00Z,12.4,pm10,µg/m³,92.0,22,24,12.360454545454546,7.0,21.2
2017-04-24T22:00:00Z,2017-04-25T22:00:00Z,9.56,pm10,µg/m³,100.0,24,24,9.556666666666667,4.25,16.6
2017-04-25T22:00:00Z,2017-04-26T22:00:00Z,9.01,pm10,µg/m³,100.0,24,24,9.005833333333333,3.5,15.75
2017-04-26T22:00:00Z,2017-04-27T22:00:00Z,9.36,pm10,µg/m³,100.0,24,24,9.3575,3.63,18.58
2017-04-27T22:00:00Z,2017-04-28T22:00:00Z,10.5,pm10,µg/m³,100.0,24,24,10.542499999999997,4.7,18.28
